filing_date,component,url,ownerOrg,name,cik
2025-02-28,domestic,https://www.sec.gov/Archives/edgar/data/105016/000119312525041730/d898605d10k.htm#:~:text=Supplier%20Concentration&text=Single-source%20supplier%20risk,Trade & Services,WATSCO INC,105016
2025-03-17,domestic,https://www.sec.gov/Archives/edgar/data/89140/000143774925007993/svt20241231c_10k.htm#:~:text=Supplier%20Concentration&text=Single-source%20supplier%20risk,Manufacturing,SERVOTRONICS INC /DE/,89140
2025-03-21,domestic,https://www.sec.gov/Archives/edgar/data/101295/000117184325001611/ug20241231_10k.htm#:~:text=Supplier%20Concentration&text=Single-source%20supplier%20risk,Industrial Applications and Services,UNITED GUARDIAN INC,101295
2025-02-25,domestic,https://www.sec.gov/Archives/edgar/data/107263/000010726325000031/wmb-20241231.htm#:~:text=Supplier%20Concentration&text=Single-source%20supplier%20risk,Energy & Transportation,"WILLIAMS COMPANIES, INC.",107263
2025-02-25,domestic,https://www.sec.gov/Archives/edgar/data/110019/000010726325000031/wmb-20241231.htm#:~:text=Supplier%20Concentration&text=Single-source%20supplier%20risk,Energy & Transportation,NORTHWEST PIPELINE LLC,110019
2025-02-25,domestic,https://www.sec.gov/Archives/edgar/data/99250/000010726325000031/wmb-20241231.htm#:~:text=Supplier%20Concentration&text=Single-source%20supplier%20risk,Energy & Transportation,"TRANSCONTINENTAL GAS PIPE LINE COMPANY, LLC",99250
2025-03-03,domestic,https://www.sec.gov/Archives/edgar/data/834365/000162828025009511/blfs-20241231.htm#:~:text=Supplier%20Concentration&text=Single-source%20supplier%20risk,Industrial Applications and Services,BIOLIFE SOLUTIONS INC,834365
2025-03-06,domestic,https://www.sec.gov/Archives/edgar/data/918541/000091854125000018/nnbr-20241231.htm#:~:text=Supplier%20Concentration&text=Single-source%20supplier%20risk,Technology,NN INC,918541
2025-02-27,domestic,https://www.sec.gov/Archives/edgar/data/1552800/000155280025000003/ttsh-20241231x10k.htm#:~:text=Supplier%20Concentration&text=Single-source%20supplier%20risk,Trade & Services,"TILE SHOP HOLDINGS, INC.",1552800
2025-03-05,domestic,https://www.sec.gov/Archives/edgar/data/1758766/000175876625000005/stem-20241231.htm#:~:text=Supplier%20Concentration&text=Single-source%20supplier%20risk,Technology,"STEM, INC.",1758766
2025-02-25,domestic,https://www.sec.gov/Archives/edgar/data/1759631/000175963125000051/hyln-20241231.htm#:~:text=Supplier%20Concentration&text=Single-source%20supplier%20risk,Manufacturing,Hyliion Holdings Corp.,1759631
2025-02-25,domestic,https://www.sec.gov/Archives/edgar/data/1567683/000156768325000007/cwen-20241231.htm#:~:text=Supplier%20Concentration&text=Single-source%20supplier%20risk,Energy & Transportation,"Clearway Energy, Inc.",1567683
