"category","count"
"Large accelerated filer","2295"
"Non-accelerated filer<br>Smaller reporting company","1346"
"<br>Emerging growth company","773"
"Non-accelerated filer<br>Smaller reporting company<br>Emerging growth company","606"
"Accelerated filer","541"
"Non-accelerated filer<br>Emerging growth company","448"
"Non-accelerated filer","326"
"Accelerated filer<br>Smaller reporting company","212"
"Accelerated filer<br>Emerging growth company","60"
"Accelerated filer<br>Smaller reporting company<br>Emerging growth company","14"
"Smaller reporting company","12"
"Large Accelerated","4"
"Large Accelerated<br>Well Known Seasoned Issuer","1"
"Large accelerated filer<br>Smaller reporting company","1"
