"category","count"
"Smaller reporting company","1689"
"Non-accelerated filer<br>Smaller reporting company","1317"
"<br>Emerging growth company","1121"
"Large accelerated filer","1034"
"Non-accelerated filer","755"
"Accelerated filer","708"
"Non-accelerated filer<br>Smaller reporting company<br>Emerging growth company","572"
"Large Accelerated","509"
"Non-accelerated filer<br>Emerging growth company","159"
"Accelerated filer<br>Smaller reporting company","131"
"Large Accelerated<br>Well Known Seasoned Issuer","107"
"Accelerated filer<br>Emerging growth company","48"
"Accelerated filer<br>Smaller reporting company<br>Emerging growth company","23"
"Smaller reporting accelerated filer","5"
"Smaller reporting company<br>Smaller reporting company","4"
"Smaller Reporting Accelerated","1"
"Large accelerated filer<br>Smaller reporting company","1"
"Smaller reporting company<br>Smaller reporting company<br>Emerging growth company","1"
