ownerOrg,period,count,component
Energy & Transportation,1,6,launch_domestic
Finance,1,1,launch_domestic
Industrial Applications and Services,1,4,launch_domestic
Life Sciences,1,4,launch_domestic
Manufacturing,1,24,launch_domestic
Real Estate & Construction,1,2,launch_domestic
Technology,1,12,launch_domestic
Trade & Services,1,2,launch_domestic
Crypto Assets,1,1,satellite_domestic
Energy & Transportation,1,2,satellite_domestic
Finance,1,2,satellite_domestic
Industrial Applications and Services,1,2,satellite_domestic
Manufacturing,1,21,satellite_domestic
Real Estate & Construction,1,4,satellite_domestic
Technology,1,23,satellite_domestic
Trade & Services,1,5,satellite_domestic
Energy & Transportation,1,2,exploration_domestic
Industrial Applications and Services,1,5,exploration_domestic
Life Sciences,1,3,exploration_domestic
Manufacturing,1,8,exploration_domestic
Technology,1,3,exploration_domestic
Trade & Services,1,1,exploration_domestic
Energy & Transportation,1,2,commercial_domestic
Manufacturing,1,5,commercial_domestic
Real Estate & Construction,1,3,commercial_domestic
Technology,1,1,commercial_domestic
Real Estate & Construction,1,1,investment_domestic
Manufacturing,1,1,technology_domestic
Technology,1,8,technology_domestic
Finance,1,1,risks_domestic
Manufacturing,1,1,risks_domestic
Real Estate & Construction,1,2,risks_domestic
Energy & Transportation,1,6,launch_international
Industrial Applications and Services,1,1,launch_international
Manufacturing,1,5,launch_international
Technology,1,6,launch_international
Energy & Transportation,1,4,satellite_international
Finance,1,2,satellite_international
Industrial Applications and Services,1,1,satellite_international
Manufacturing,1,5,satellite_international
Technology,1,11,satellite_international
