ownerOrg,period,count,component
Crypto Assets,0,52,adoption_domestic
Crypto Assets,1,58,adoption_domestic
Energy & Transportation,0,6,adoption_domestic
Energy & Transportation,1,9,adoption_domestic
Finance,0,13,adoption_domestic
Finance,1,15,adoption_domestic
Industrial Applications and Services,0,6,adoption_domestic
Industrial Applications and Services,1,7,adoption_domestic
Life Sciences,0,11,adoption_domestic
Life Sciences,1,13,adoption_domestic
Manufacturing,0,7,adoption_domestic
Manufacturing,1,10,adoption_domestic
Office of Structured Finance,0,410,adoption_domestic
Office of Structured Finance,1,428,adoption_domestic
Real Estate & Construction,0,13,adoption_domestic
Real Estate & Construction,1,15,adoption_domestic
Technology,0,18,adoption_domestic
Technology,1,24,adoption_domestic
Trade & Services,0,13,adoption_domestic
Trade & Services,1,20,adoption_domestic
Crypto Assets,0,59,holdings_domestic
Crypto Assets,1,71,holdings_domestic
Energy & Transportation,1,1,holdings_domestic
Finance,0,3,holdings_domestic
Finance,1,1,holdings_domestic
Industrial Applications and Services,0,11,holdings_domestic
Industrial Applications and Services,1,14,holdings_domestic
Life Sciences,0,1,holdings_domestic
Manufacturing,0,15,holdings_domestic
Manufacturing,1,10,holdings_domestic
Real Estate & Construction,0,5,holdings_domestic
Real Estate & Construction,1,2,holdings_domestic
Technology,0,6,holdings_domestic
Technology,1,13,holdings_domestic
Trade & Services,0,2,holdings_domestic
Trade & Services,1,5,holdings_domestic
Crypto Assets,0,35,mining_domestic
Crypto Assets,1,42,mining_domestic
Energy & Transportation,0,96,mining_domestic
Energy & Transportation,1,154,mining_domestic
Finance,0,6,mining_domestic
Finance,1,6,mining_domestic
Industrial Applications and Services,0,14,mining_domestic
Industrial Applications and Services,1,17,mining_domestic
Life Sciences,0,1,mining_domestic
Life Sciences,1,1,mining_domestic
Manufacturing,0,17,mining_domestic
Manufacturing,1,19,mining_domestic
Real Estate & Construction,0,9,mining_domestic
Real Estate & Construction,1,14,mining_domestic
Technology,0,16,mining_domestic
Technology,1,23,mining_domestic
Trade & Services,0,10,mining_domestic
Trade & Services,1,12,mining_domestic
Crypto Assets,0,5,investment_domestic
Crypto Assets,1,9,investment_domestic
Industrial Applications and Services,1,2,investment_domestic
Manufacturing,0,1,investment_domestic
Real Estate & Construction,0,6,investment_domestic
Real Estate & Construction,1,3,investment_domestic
Technology,0,3,investment_domestic
Technology,1,7,investment_domestic
Trade & Services,0,1,investment_domestic
Crypto Assets,0,2,risk_domestic
Crypto Assets,1,2,risk_domestic
Finance,0,1,risk_domestic
Finance,1,3,risk_domestic
