ownerOrg,period,count,component
Crypto Assets,0,9,domestic
Crypto Assets,1,17,domestic
Energy & Transportation,0,70,domestic
Energy & Transportation,1,97,domestic
Finance,0,186,domestic
Finance,1,208,domestic
Industrial Applications and Services,0,116,domestic
Industrial Applications and Services,1,160,domestic
Life Sciences,0,174,domestic
Life Sciences,1,229,domestic
Manufacturing,0,184,domestic
Manufacturing,1,308,domestic
Real Estate & Construction,0,211,domestic
Real Estate & Construction,1,257,domestic
Technology,0,122,domestic
Technology,1,170,domestic
Trade & Services,0,234,domestic
Trade & Services,1,340,domestic
Crypto Assets,1,5,international
Energy & Transportation,0,8,international
Energy & Transportation,1,36,international
Finance,0,13,international
Finance,1,30,international
Industrial Applications and Services,0,13,international
Industrial Applications and Services,1,19,international
Life Sciences,0,8,international
Life Sciences,1,19,international
Manufacturing,0,25,international
Manufacturing,1,74,international
Real Estate & Construction,0,7,international
Real Estate & Construction,1,17,international
Technology,0,24,international
Technology,1,52,international
Trade & Services,0,18,international
Trade & Services,1,60,international
